Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 100, Accuracy: 0.650794
Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 200, Accuracy: 0.682540
Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 300, Accuracy: 0.619048
Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 400, Accuracy: 0.619048
Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 500, Accuracy: 0.571429
Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 600, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 700, Accuracy: 0.587302
Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 800, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 900, Accuracy: 0.666667
Hidden Layer: 1, Learning Rate: 0.100000, Epochs: 1000, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 100, Accuracy: 0.587302
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 200, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 300, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 400, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 500, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 600, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 700, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 800, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 900, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.200000, Epochs: 1000, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.300000, Epochs: 100, Accuracy: 0.634921
Hidden Layer: 1, Learning Rate: 0.300000, Epochs: 200, Accuracy: 0.571429
Hidden Layer: 1, Learning Rate: 0.300000, Epochs: 300, Accuracy: 0.603175
Hidden Layer: 1, Learning Rate: 0.300000, Epochs: 400, Accuracy: 0.539683
Hidden Layer: 1, Learning Rate: 0.300000, Epochs: 500, Accuracy: 0.539683
Hidden Layer: 1, Learning Rate: 0.300000, Epochs: 600, Accuracy: 0.666667
Hidden Layer: 1, Learning Rate: 0.300000, Epochs: 700, Accuracy: 0.666667
Hidden Layer: 1, Learning Rate: 0.300000, Epochs: 800, Accuracy: 0.666667
